no,type,data1,case1,case2,case3,case4,img
46,1,백일해(Pertussis),"결막염, 기침, 콧물, 구토","폐기종, 결막염","감염내과, 호흡기내과",,1_46.jpg
47,1,"병원 감염성 폐렴(Hospital acquired pneumonia (HAP))","기침, 오한, 근육통, 가래, 열, 가슴 통증","지역사회성 폐렴, 폐 농양, 패혈증, 폐렴간균에 의한 폐렴 , 흡인성 폐렴, 폐렴",호흡기내과,병원성폐렴,1_47.jpg
48,1,"부르가다 증후군(Brugada Syndrome)","가슴 두근거림, 어지러움, 호흡곤란, 심실세동, 심실 부정맥, 돌연사, 실신","심실 빈맥, 부정맥, 발작성 상심실성 빈맥, 심실 세동",심장내과,"부르가다,브루가다,브루가다 증후군",1_48.jpg
50,1,"불안정형 협심증(Unstable angina)","가슴 통증, 호흡곤란","급성 심근경색증, 협심증, 죽상경화증","심장내과, 심장병원","불안정협심증,비안정성협심증",1_50.jpg
51,1,"비소세포성 폐암(Non-small cell lung cancer)","객혈, 가슴 통증, 호흡곤란, 기침","소세포성 폐암, 폐암, 폐 농양, 폐 전이","종양내과, 호흡기내과, 방사선종양학과, 흉부외과","기관지 폐포암,대세포암,비소세포 폐암,비소세포암,편평상피세포암,폐선암",1_51.jpg
53,1,"상대정맥 증후군(Superior vena cava Syndrome)","경정맥 확장, 삼키기 곤란 , 청색증, 가슴 통증, 호흡곤란, 사지 부종, 기침","림프종, 폐암, 소세포성 폐암, 비소세포성 폐암, 폐 전이","종양내과, 흉부외과","SVC Syndrome",1_53.jpg
54,1,서맥(Bradycardia),"어지러움, 자율신경장애","심근염, 고혈압","심장내과, 심장병원","느린 맥박,느린맥",1_54.jpg
57,1,"소세포성 폐암(Small cell lung cancer)","객혈, 천명음, 기침","폐 전이, 카르시노이드 증후군, 비소세포성 폐암, 폐암","종양내과, 호흡기내과, 방사선종양학과, 흉부외과",소세포폐암,1_57.jpg
58,1,소유방증(Micromastia),,소유방증,성형외과,"작은 가슴,Small breast",1_58.jpg
60,1,"쇄골 골절(Clavicle Fracture)","팔의 통증, 환부 부종, 손상 부위 통증","병리적 골절, 팔죽지 골절, 난산, 골절 후 부정 유합, 불유합, 원위 요골과 척골 골절",정형외과,"쇄골뼈 골절",1_60.jpg
61,1,"수면 무호흡증(Sleep apnea)","수면 무호흡, 피부 긴장도 저하, 몽유병, 불면증, 발기부전","수면보행증, 수면 장애","호흡기내과, 신경과, 이비인후과, 정신건강의학과, 치과","sleep apnea syndrome,수면 무호흡,수면 무호흡 증후군",1_61.jpg
62,1,"수정대혈관 전위(Corrected TGA)","발한, 청색증, 수유 곤란, 발육부전, 가슴 두근거림, 빈맥, 호흡곤란","울혈성 심부전, 대혈관 전위, WPW 증후군, 선천성 심장 질환",소아심장외과,"수정대혈관 전위증",1_62.jpg
63,1,"승모판 기능부전(Mitral (valve) insufficiency)","기침, 가래, 호흡곤란","심장 판막 질환, 승모판 협착","심장내과, 흉부외과, 심장병원","mitral insufficiency,승모판기능부전증,승모판막역류증,승모판폐쇄부전",1_63.jpg
64,1,"승모판 협착(Mitral (valve) stenosis)","운동 시 호흡곤란, 기침, 가슴 통증, 가래, 호흡곤란","승모판 기능부전, 심장 판막 질환","심장내과, 심장병원","Mitral stenosis,승모판협착증",1_64.jpg
65,1,"식도의 평활근종(Leiomyoma of esophagus)","구토, 삼키기 곤란 , 소화불량, 토혈, 위장관 출혈",식도암,소화기내과,"식도민무늬근종,식도평활근종",1_65.jpg
67,1,"신생아 가사(Neonatal asphyxia)","다발성 장기부전 증상, 무호흡","신생아 호흡곤란증후군, 뇌성 마비","신생아과, 어린이병원, 소아재활의학과","Asphyxia of newborn,Neonatal hypoxia,신생아저산소증,신생아질식",1_67.jpg
68,1,"신생아 호흡곤란증후군(Neonatal respiratory distress syndrome)","청색증, 호흡곤란, 함몰가슴","신생아 가사","신생아과, 어린이병원, 소아재활의학과","RDS,신생아진행성호흡부전,신생아호흡부전,신생아호흡장애증후군,유리질막증,초자막 질환",1_68.jpg
69,1,"신종 플루(Novel swine-origin influenza A(H1N1))","설사, 구토, 근육통, 목의 통증, 두통, 오한",폐렴,"감염내과, 호흡기내과","H1N1,돼지독감,돼지인플루엔자,신종인플루엔자,신종인플루엔자A",1_69.jpg
71,1,심근병증(Cardiomyopathy),"운동 시 호흡곤란, 피부 긴장도 저하, 말초부종, 복수, 가슴 두근거림","부정맥, 고혈압, 울혈성 심부전","심장내과, 흉부외과","비후성심근증,심근증,제한성 심근증,확장성심근증",1_71.jpg
72,1,심근염(Myocarditis),"감기 증상, 가슴 통증, 울혈성 심부전, 부정맥, 설사, 열, 피로감, 구토, 근육통","급성 류마티스성 열, 울혈성 심부전, 부정맥, 패혈증, 가와사키병","심장내과, 심장병원",심근염증,1_72.jpg
73,1,"심낭 삼출 (Pericardial effusion)","호흡곤란, 목소리 변화, 식욕부진, 빈맥, 기침","심내막염, 류마티스 관절염, 울혈성 심부전, 전신 홍반성 낭창","심장내과, 심장병원","심낭삼출,심낭삼출액,심장막 삼출액",1_73.jpg
74,1,"심낭 압전(Cardiac tamponade)","부정맥, 호흡곤란, 심음 감소, 저혈압, 경정맥 확장","심낭염, 심낭 삼출","심장내과, 심장병원","심낭압전증,심장 눌림증,심장압전,심장압전증",1_74.jpg
75,1,심낭염(Pericarditis),"두통, 가슴 통증, 피로감, 쇼크, 저혈압, 호흡곤란, 열","심장 종양, 오래된 심근경색증, 신부전, 류마티스 관절염, 전신 홍반성 낭창, 심낭 압전","심장내과, 심장병원","심낭염증,심막염,심막염증",1_75.jpg
77,1,"심방 세동(Atrial fibrillation)","빈맥, 가슴 답답, 가슴 두근거림, 어지러움, 피로감, 실신, 호흡곤란","부정맥, 갑상선기능항진증, 심근병증, 심장 판막 질환","심장내과, 심장병원","심방 잔떨림",1_77.jpg
79,1,"심방 중격 결손(Atrial septal defect)","피부 긴장도 저하, 청색증, 심방 부정맥, 잦은 상기도 감염, 운동 시 호흡곤란, 심잡음","폐성 고혈압, 심실 중격 결손, 방실 중격 결손","심장내과, 소아청소년심장과, 흉부외과, 소아심장외과, 선천성심장병센터, 심장병원","ASD,소아 심방중격결손,심방중격결손증",1_79.jpg
80,1,"심실 빈맥(Ventricular tachycardia)","빈맥, 실신, 호흡곤란, 가슴 두근거림",부정맥,"심장내과, 심장병원","다형 심실빈맥,단형 심실빈맥,비지속성 심실빈맥,심실성빈맥,지속성 심실빈맥",1_80.jpg
81,1,"심실 세동(Ventricular fibrillation)","호흡곤란, 빈맥, 실신, 가슴 두근거림","부정맥, 갑상선중독증, 저체온증, 심낭염, 울혈성 심부전","심장내과, 심장병원",,1_81.jpg
82,1,"심실 중격 결손(Ventricular septal defect)","수유 곤란, 호흡기감염, 심잡음, 반복되는 폐렴, 폐동맥 고혈압, 심부전","풍진, 폐성 고혈압, 다운 증후군 , 심방 중격 결손, 방실 중격 결손, 울혈성 심부전","심장내과, 소아청소년심장과, 흉부외과, 소아심장외과, 선천성심장병센터, 심장병원","VSD,근성부 결손,막양부 결손,심실중격결손증,판막 하 결손",1_82.jpg
83,1,"심장 종양(Cardiac tumor)","돌연사, 무증상, 부정맥, 심부전","울혈성 심부전","심장내과, 흉부외과","심장 암종,심장암",1_83.jpg
84,1,"심장 판막 질환(Valvular heart disease)","호흡곤란, 가슴 통증, 실신","승모판 기능부전, 승모판 협착, 대동맥판막 협착, 대동맥판막 기능부전","심장내과, 심장병원, 판막질환센터",심장판막증,1_84.jpg
85,1,아스페르길루스증(Aspergillosis),"열, 호흡곤란, 오한, 천명음, 객혈",폐렴,"감염내과, 호흡기내과, 흉부외과, 알레르기내과",아스페르길루스종,1_85.jpg
86,1,"악성 종격동 종양(Malignant mediastinal tumor)","기침, 열, 무증상, 가슴 통증","종격동염, 양성 종격동 종양","종양내과, 방사선종양학과, 소아청소년종양혈액과, 흉부외과, 암병원","종격동 악성종양,종격동 암",1_86.jpg
87,1,"악성 중피종(Malignant mesothelioma)","체중감소, 피로감, 호흡곤란, 가슴 통증, 방사통, 기침, 목소리 변화","폐암, 진폐증, 비소세포성 폐암, 소세포성 폐암","종양내과, 방사선종양학과",,1_87.jpg
88,1,"악성 흉막 삼출(Malignant pleural effusion)","불안, 가슴 통증, 기침, 호흡곤란","폐암, 비소세포성 폐암, 폐 전이, 유방암, 림프종, 소세포성 폐암","종양내과, 호흡기내과",,1_88.jpg
89,1,"양대혈관 우심실 기시증(Double outlet right ventricle)","운동 시 호흡곤란, 심부전, 발육부전, 무산소 발작, 청색증, 폐동맥 고혈압, 호흡곤란","심실 중격 결손, 대혈관 전위, 팔로 사 징후, 폐성 고혈압","소아청소년심장과, 신생아과, 소아심장외과, 선천성심장병센터",,1_89.jpg
90,1,"양방단실유입증(Double inlet ventricle)","수유 곤란, 발육부전, 무산소 발작, 호흡곤란, 심부전, 청색증","선천성 심장 질환, 울혈성 심부전","소아청소년심장과, 소아심장외과, 선천성심장병센터",,1_90.jpg
91,1,"양성 종격동 종양(Benign mediastinal tumor)","천명음, 호흡곤란, 삼키기 곤란 , 기침, 가슴 통증, 목소리 변화, 무증상","악성 종격동 종양, 림프종",흉부외과,"종격동 양성종양,종격동 종양",1_91.jpg
92,1,"엡스테인 심기형(Ebstein anomaly)","호흡곤란, 심부전, 발육부전, 청색증, 수유 곤란, 심잡음","울혈성 심부전, 부정맥, 심장 판막 질환, 심방 중격 결손","소아청소년심장과, 소아심장외과, 선천성심장병센터","엡스타인기형,엡스테인 기형",1_92.jpg
93,1,"오래된 심근경색증(Old myocardial infarction)","가슴 답답, 빈맥, 방사통, 가슴 통증, 가슴 쓰림, 부정맥","급성 심근경색증, 협심증, 불안정형 협심증, 울혈성 심부전, 고혈압, 죽상경화증","심장내과, 심장병원","만성 심근경색증,만성심근경색",1_93.jpg
95,1,"온전한 심실 중격을 가진 폐동맥 폐쇄(Pulmonary atresia with intact venticulr septum)","심방 부정맥, 복수, 간비대, 청색증, 전신 부종, 대사성 산증","엡스테인 심기형, 폐성 고혈압, 대사성 산증, 선천성 심장 질환","소아청소년심장과, 소아심장외과, 선천성심장병센터",,1_95.jpg
97,1,"위식도 역류성 질환(Gastro-esophagus reflux disease)","오심, 기침, 가슴 쓰림, 목소리 변화, 삼키기 곤란 , 가슴 통증, 방사통","식도암, 비만, 천식, 치아 우식증[충치], 복수, 바렛 식도, 식도염","가정의학과, 소화기내과, 위장관외과, 소아소화기영양과","역류성 식도염,위 식도 역류질환",1_97.jpg
98,1,"이물질에 의한 기도 막힘(Airway obstruction)","질식, 청색증, 의식 변화, 호흡곤란","식도의 이물, 소화관의 이물",응급의학과,"기도 폐색,기도폐쇄,이물질기도막힘,이물질에의한질식,이물질질식,질식",1_98.jpg
99,1,인플루엔자(Influenza),"구토, 설사, 열, 오한, 목의 통증, 두통, 근육통","폐렴, 만성 폐쇄성 폐질환, 천식",노년내과,독감,1_99.jpg
103,1,"전폐정맥연결 이상(Total anomalous pulmonary venous connection)","청색증, 운동 시 호흡곤란, 잦은 상기도 감염, 발육부전, 수유 곤란, 빈호흡, 부정맥","풍진, 선천성 심장 질환, 심방 중격 결손","소아청소년심장과, 소아심장외과, 선천성심장병센터","총폐정맥 환류 이상증,총폐정맥이상연결증",1_103.jpg
104,1,종격동염(Mediastinitis),"오한, 열, 가슴 통증, 호흡곤란, 삼키기 곤란 , 가슴 답답","폐결핵, 식도암, 악성 종격동 종양, 양성 종격동 종양, 결핵, 식도의 이물","호흡기내과, 흉부외과",,1_104.jpg
106,1,"중동 호흡기 증후군(MERS)(Middle East Respiratory Syndrome)","급성 신부전, 기침, 호흡곤란, 열","폐렴간균에 의한 폐렴 , 중증 급성 호흡기 증후군, 폐렴, 급성 신부전, 신부전",호흡기내과,"신종 코로나 바이러스 감염증,메르스바이러스 감염증,메르스 코로나 바이러스 감염증",1_106.jpg
107,1,"중증 급성 호흡기 증후군(Severe Acute Respiratory Syndrom)","오한, 근육통, 권태감, 두통, 호흡곤란, 열, 기침","신종 플루, 인플루엔자, 파라인플루엔자 감염증, 가습기 살균제 연관 폐질환",호흡기내과,"사스,SARS",1_107.jpg
109,1,진폐증(Pneumoconiosis),"운동 시 호흡곤란, 기침, 검은색 가래","폐암, 규폐증",호흡기내과,"탄광부 진폐증",1_109.jpg
110,1,"처그 스트라우스 증후군(Churg strauss syndrome)","근육통, 감기 증상, 피로감, 체중감소, 천식, 호흡곤란, 기침, 열, 천명음, 무감각, 관절통, 점상 출혈, 저림, 식욕부진","과다호산구증가증, 상기도 감염, 천식, 혈관염, 호산구 증가증, 알레르기 비염",알레르기내과,"처그 스트라우스 혈관염,처그스트라우스,처그스트라우스씨 병,폐 침습성 다발동맥염",1_110.jpg
111,1,천식(Asthma),"천명음, 가래, 호흡곤란, 기침, 가슴 답답","알레르기 비염, 만성 폐쇄성 폐질환, 아토피성 피부염, 만성 폐질환","호흡기내과, 알레르기내과, 소아천식아토피센터","소아천식,운동유발성천식,직업성천식",1_111.jpg
112,1,"총동맥간증(Persistent truncus arteriosus)","호흡곤란, 심잡음, 청색증, 수유 곤란, 소변량 감소, 축 늘어짐","폐성 고혈압, 울혈성 심부전, 심내막염, 대동맥궁 단절, 다운 증후군","소아청소년심장과, 소아심장외과, 선천성심장병센터",,1_112.jpg
113,1,"타카야수 혈관염(Takayasu’s Arteritis)","열, 발한, 식욕부진, 체중감소","폐색성 혈전 혈관염 , 혈관염","심장내과, 혈관외과, 신경과, 류마티스내과","pulseless disease,대동맥궁 증후군,대동맥활 증후군,타카야수동맥염,다까야수혈관염",1_113.jpg
115,1,탄저병(Anthrax),"열, 감기 증상, 물집, 복부 통증, 피부소양감","패혈증, 바이러스성 뇌수막염",감염내과,탄저균,1_115.jpg
116,1,"태변 흡인 증후군(Meconium aspiration syndrome)","빈호흡, 호흡곤란, 근긴장의 이상, 저산소증, 청색증, 서맥","신생아 가사, 난산",신생아과,"태변 흡입 증후군",1_116.jpg
117,1,"특발성 폐섬유화증(Idiopathic pulmonary fibrosis)","기침, 운동 시 호흡곤란, 저산소증, 호흡곤란, 곤봉지","만성 폐쇄성 폐질환, 만성 폐질환, 미만성 간질성 폐질환, 가습기 살균제 연관 폐질환",호흡기내과,"특발성 폐섬유증",1_117.jpg
118,1,"팔로 사 징후(Tetralogy of Fallot with/without PA)","운동 시 호흡곤란, 호흡곤란, 심잡음, 청색증, 발육부전, 무산소 발작","심실 중격 결손, 선천성 심장 질환, 다운 증후군 , 22번 염색체 장완 미세결실 증후군","소아청소년심장과, 소아심장외과, 선천성심장병센터","tof,팔로4징,팔로4징증,팔로4징후,팔로씨4징,팔롯4징,팔롯사징후,활로4징",1_118.jpg
119,1,"폐 농양(Abscess of lung)","체중감소, 기침, 호흡곤란, 열, 화농성 객담",폐렴,호흡기내과,폐농양,1_119.jpg
120,1,"폐 전이(Lung Metastasis)","무증상, 객혈, 기침","폐암, 비소세포성 폐암, 소세포성 폐암, 간 전이, 전이성 신장암","종양내과, 호흡기내과, 방사선종양학과, 흉부외과","전이된폐암,폐암 전이,전이성폐암",1_120.jpg
121,1,"폐 혈전색전증(Pulmonary thromboembolism)","가슴 통증, 객혈, 발한, 실신, 불안, 빈맥, 기침, 호흡곤란, 폐색전","심부정맥 색전증, 동맥색전증 및 혈전증, 양수색전증, 문맥색전증","심장내과, 심장병원","폐동맥 색전증,폐색전증",1_121.jpg
125,1,폐렴(Pneumonia),"호흡곤란, 기침, 가래, 열, 오한, 흉수, 가슴 통증, 두통, 피로감","지역사회성 폐렴, 병원 감염성 폐렴, 폐렴간균에 의한 폐렴 , 흡인성 폐렴","노년내과, 호흡기내과, 소아천식아토피센터","바이러스성 폐렴,폐염증",1_125.jpg
126,1,"폐렴간균에 의한 폐렴 (Klebsiella pneumoniae infection)","가슴 통증, 열, 객혈, 호흡곤란, 오한","폐 농양, 폐렴",호흡기내과,"크레브시엘라 폐렴,폐렴간균,폐렴간균 폐렴",1_126.jpg
127,1,"폐부종(Pulmonary edema)","청색증, 기침, 폐부종, 말초부종, 객혈","급성 신부전, 신부전, 울혈성 심부전, 만성 신부전",호흡기내과,"급성폐부종,폐수종,폐울혈",1_127.jpg
129,1,"폐암(Lung cancer)","무증상, 객혈, 호흡곤란, 기침, 가슴 통증, 목소리 변화, 체중감소","비소세포성 폐암, 폐 전이, 만성 기침, 소세포성 폐암","종양내과, 호흡기내과, 방사선종양학과, 흉부외과, 암병원","기관지암,폐 악성신생물,폐악성종양,폐암종",1_129.jpg
130,1,"함몰 유두(Inverted nipple)",함몰유두,"유방 농양, 유방의 엽상 종양, 유방 종양, 유방의 섬유선종, 유관 확장증, 결핵, 유방암",성형외과,구융젖,1_130.jpg
132,1,"협심증(Angina pectoris)","가슴 쓰림, 방사통, 가슴 통증, 호흡곤란","허혈성 심질환, 급성 심근경색증, 불안정형 협심증","심장내과, 심장병원","coronary syndrome,관동맥 증후군,심근허혈",1_132.jpg
133,1,"호흡성 산증(Respiratory Acidosis)","호흡곤란, 피부홍조, 온몸이 떨림, 발한, 불안, 두통, 의식 변화, 지남력 장애","천식, 폐부종, 만성 기관지염","호흡기내과, 응급의학과",호흡성산혈증,1_133.jpg
134,1,"횡격막 탈장(Diaphragmatic hernia)","복벽이 움푹 들어감, 호흡곤란, 창백, 탈장, 청색증","반흔 탈장, 선천성 기형, 제대 탈장, 재발성 탈장","소아외과, 소아전문응급센터","선천성 가로막 탈장,선천성 횡격막 탈장,태아횡격막탈장,횡격막 허니아,횡격막 헤르니아",1_134.jpg
135,1,효모균증(Cryptococcosis),"피부궤양, 호흡곤란, 두통, 경부 강직, 열, 가슴 통증","후천성 면역결핍증","감염내과, 호흡기내과, 흉부외과",크립토콕쿠스증,1_135.jpg
136,1,"흉곽출구 증후군(Thoracic outlet syndrome)","저림, 가슴 통증, 팔의 통증","회전근개 증후군, 불안정형 협심증, 동결견, 손목 수근관 증후군, 협심증, 유방암","심장내과, 흉부외과",,1_136.jpg
137,1,"흉막 삼출(Pleural effusion)","빈호흡, 호흡곤란, 폐기능저하, 기침, 가슴 통증","폐렴, 폐결핵, 소세포성 폐암, 비소세포성 폐암, 폐암, 폐 혈전색전증",호흡기내과,흉수,1_137.jpg
138,1,"흉부 대동맥류(Thoracic aortic Aneurysm)","어깨의 통증, 기침, 목 주변 부종, 목의 통증, 성대 이상, 요통","죽상경화증, 대동맥판막 기능부전, 복부 대동맥류","심장내과, 심장병원",가슴대동맥류,1_138.jpg
139,1,"흉선암(Thymus Cancer)","근력 약화, 어지러움, 삼키기 곤란 , 무증상, 두통, 기침, 가슴 통증, 호흡곤란","자가면역 질환, 호지킨 림프종, 비호지킨 림프종, 중증 근무력증, 림프종","종양내과, 방사선종양학과, 흉부외과, 암병원","가슴샘종,흉선암종,흉선종",1_139.jpg
141,1,"흡인성 폐렴(Aspiration pneumonia)",,"폐렴간균에 의한 폐렴 , 폐렴, 만성 폐쇄성 폐질환, 만성 기침","노년내과, 호흡기내과",,1_141.jpg
142,1,히스토플라즈마증(Histoplasmosis),"오한, 열, 가슴 통증, 호흡곤란, 기침","후천성 면역결핍증, 면역결핍증, 만성 폐질환, 폐렴, 곰팡이 감염","감염내과, 호흡기내과",히스토플라스마증,1_142.jpg
