no,area,name,disease,grade,lat,log,img
116,부천시,성가내과의원,고혈압,1등급,37.504616999,126.76879815,9.JPG
117,성남시,성남동산의원,고혈압,1등급,37.436525266,127.14221289,10.JPG
118,수원시,성루카의원,고혈압,1등급,37.276268425,127.03077694,11.JPG
119,부천시,성모권내과의원,고혈압,1등급,37.489847322,126.76757784,12.JPG
120,부천시,성모내과의원,고혈압,1등급,37.527978854,126.81360385,13.JPG
121,수원시,성모수메디컬의원,고혈압,1등급,37.273787608,126.9427305,14.JPG
122,양주시,성모예일내과의원,고혈압,1등급,37.795952433,127.1058378,15.JPG
123,수원시,성모의원,고혈압,1등급,37.252131557,127.02220158,16.JPG
124,양주시,성모의원,고혈압,1등급,37.818945648,127.04592601,17.JPG
125,군포시,성모의원,고혈압,1등급,37.362339451,126.94175684,18.JPG
126,안양시,성모의원,고혈압,1등급,37.407304946,126.89770429,19.JPG
127,수원시,성모플러스이비인후과의원,고혈압,1등급,37.244882372,126.96376183,20.JPG
128,안성시,성바오로의원,고혈압,1등급,36.99921675,127.17000205,1.JPG
129,수원시,성심내과의원,고혈압,1등급,37.266594131,126.99164199,2.JPG
130,안양시,성심소아청소년과의원,고혈압,2등급,37.402189696,126.92403795,3.JPG
131,용인시,성안의원,고혈압,2등급,37.32595199,127.11824721,4.JPG
132,고양시,성현내과의원,고혈압,2등급,37.63232956,126.83076321,5.JPG
133,고양시,세란내과의원,고혈압,2등급,37.655350604,126.83795143,6.JPG
134,부천시,세란의원,고혈압,2등급,37.505370852,126.76282434,7.JPG
135,의왕시,세브란스소아청소년과의원,고혈압,2등급,37.32128559,126.95353464,8.JPG
136,부천시,세연의원,고혈압,2등급,37.48692659,126.75365702,9.JPG
137,하남시,세인가정의학과의원,고혈압,2등급,37.541819041,127.2178916,10.JPG
138,화성시,세종의원,고혈압,2등급,37.216133812,126.97618087,11.JPG
139,수원시,소망가정의학과의원,고혈압,2등급,37.268988646,126.977346,12.JPG
140,광명시,소망연세의원,고혈압,2등급,37.485267037,126.86167412,13.JPG
141,부천시,소사양지정형외과의원,고혈압,2등급,37.47853745,126.795131,14.JPG
142,광명시,소하진내과의원,고혈압,2등급,37.435827215,126.88443311,15.JPG
143,동두천시,속내과의원,고혈압,2등급,37.891999813,127.05331254,16.JPG
144,시흥시,속사랑내과의원,고혈압,2등급,37.354194144,126.7229222,17.JPG
145,부천시,속사랑내과의원,고혈압,1등급,37.492619234,126.78965301,18.JPG
146,군포시,속편한내과의원,고혈압,1등급,37.361645568,126.92612352,19.JPG
147,평택시,속편한내과의원,고혈압,1등급,36.991130612,127.08875844,20.JPG
148,수원시,속편한내과의원,고혈압,1등급,37.266158327,127.03306178,1.JPG
149,고양시,손가정의학과의원,고혈압,1등급,37.676821639,126.76030064,2.JPG
150,안양시,손내과의원,고혈압,1등급,37.401527907,126.91817707,3.JPG
151,포천시,손진휘내과의원,고혈압,1등급,37.958689721,127.31800503,4.JPG
152,의정부시,송내과의원,고혈압,1등급,37.73220859,127.08472902,5.JPG
153,평택시,송승호내과의원,고혈압,1등급,37.056540226,127.0558349,6.JPG
154,의왕시,수가정의원,고혈압,1등급,37.346476485,126.97683449,7.JPG
155,안양시,수내과의원,고혈압,1등급,37.398916257,126.93401362,8.JPG
156,수원시,수원연세가정의원,고혈압,1등급,37.250130163,126.97770178,9.JPG
157,수원시,수원중앙내과의원,고혈압,1등급,37.292904387,127.01083277,10.JPG
158,용인시,수지본내과의원,고혈압,3등급,37.328396185,127.06771427,11.JPG
159,용인시,수지아산내과의원,고혈압,3등급,37.323173271,127.07788637,12.JPG
160,의정부시,숲속샘터의원,고혈압,3등급,37.757847064,127.03396391,13.JPG
161,시흥시,시화윤내과의원,고혈압,3등급,37.353557815,126.72435798,14.JPG
162,시흥시,시화현대의원,고혈압,3등급,37.344365956,126.75186057,15.JPG
163,수원시,김경신소아청소년과의원,고혈압,3등급,37.304843039,126.99630601,16.JPG
164,남양주시,김경욱내과의원,고혈압,3등급,37.645282575,127.23464172,17.JPG
165,하남시,김계남내과의원,고혈압,3등급,37.539847877,127.20130976,18.JPG
166,의왕시,김광호따뜻한의원,고혈압,3등급,37.318645263,126.95273537,19.JPG
167,파주시,김기범내과의원,고혈압,3등급,37.726950197,126.74298633,20.JPG
168,용인시,김내과의원,고혈압,3등급,37.23638356,127.20398261,1.JPG
169,안산시,김내과의원,고혈압,3등급,37.318149394,126.83502459,2.JPG
170,안성시,김내과의원,고혈압,3등급,37.000215251,127.17119508,3.JPG
171,용인시,김람훈내과의원,고혈압,3등급,37.294486817,127.11976679,4.JPG
172,안양시,김병수내과의원,고혈압,3등급,37.412666285,126.90881172,5.JPG
173,부천시,김서영의원,고혈압,3등급,37.495424477,126.7914091,6.JPG
174,군포시,김성근내과의원,고혈압,3등급,37.360503409,126.92947717,7.JPG
175,안산시,김성봉내과의원,고혈압,3등급,37.30181757,126.86587526,8.JPG
176,부천시,김앤박의원,고혈압,3등급,37.527508013,126.81215699,9.JPG
177,안양시,김영우마취통증의학과의원,고혈압,3등급,37.383580843,126.93362116,10.JPG
178,양평군,김외과의원,고혈압,1등급,37.490663054,127.49656112,11.JPG
179,김포시,김외과의원,고혈압,1등급,37.720171733,126.63369445,12.JPG
180,수원시,김인호내과의원,고혈압,1등급,37.306257302,126.99172632,13.JPG
181,여주시,김정민내과의원,고혈압,1등급,37.204919505,127.54357056,14.JPG
182,군포시,김정호내과의원,고혈압,1등급,37.371445883,126.93653372,15.JPG
183,부천시,김찬호내과가정의학과의원,고혈압,1등급,37.487538398,126.81112796,16.JPG
184,의왕시,김태종내과의원,고혈압,1등급,37.320004666,126.9501171,17.JPG
185,김포시,김현미소아청소년과의원,고혈압,1등급,37.628497169,126.70300112,18.JPG
186,평택시,서울제통의원,고혈압,1등급,37.041844399,126.93343827,19.JPG
187,성남시,서울중앙내과의원,고혈압,1등급,37.336595431,127.1157471,20.JPG
188,의정부시,서울중앙의원,고혈압,1등급,37.727492447,127.06140201,1.JPG
189,평택시,서울푸른의원,고혈압,1등급,37.040069186,126.93323756,2.JPG
190,의정부시,서울하나로의원,고혈압,1등급,37.725543398,127.04763007,3.JPG
191,용인시,서울햇님소아청소년과의원,고혈압,1등급,37.295849291,127.15032143,4.JPG
192,수원시,서정민내과의원,고혈압,1등급,37.25090342,127.03483658,5.JPG
193,광명시,석광가정의원,고혈압,1등급,37.451213007,126.890263,6.JPG
194,안산시,선부연세내과의원,고혈압,1등급,37.342059678,126.81521125,7.JPG
195,포천시,선우내과의원,고혈압,1등급,37.827534146,127.14559129,8.JPG
196,성남시,성남가정의원,고혈압,1등급,37.44224913,127.16823632,9.JPG
197,군포시,김현철내과의원,고혈압,1등급,37.346365945,126.94472665,10.JPG
198,안양시,김형식내과의원,고혈압,1등급,37.411910996,126.91078939,11.JPG
199,양주시,김형주내과의원,고혈압,1등급,37.836945259,127.06817942,12.JPG
200,시흥시,김희승내과의원,고혈압,1등급,37.345222186,126.74777236,13.JPG
201,남양주시,나라내과의원,고혈압,1등급,37.634721728,127.21128217,14.JPG
202,평택시,나정일내과의원,고혈압,1등급,37.056684185,127.05630719,15.JPG
203,성남시,성남속편한내과의원,고혈압,1등급,37.443939733,127.14287076,16.JPG
204,안성시,성모가정의원,고혈압,1등급,36.992047845,127.13894919,17.JPG
205,성남시,성모가정의학과의원,고혈압,1등급,37.440295739,127.17946402,18.JPG
206,화성시,성모내과의원,고혈압,4등급,37.216489028,126.95878551,19.JPG
207,광명시,성지외과의원,고혈압,4등급,37.48284585,126.85631953,20.JPG
208,파주시,속편한내과의원,고혈압,4등급,37.755421271,126.77384285,1.JPG
209,군포시,손내과의원,고혈압,4등급,37.321948018,126.94406855,2.JPG
210,파주시,손의원,고혈압,4등급,37.743398912,126.8067938,3.JPG
211,수원시,(사)인구보건복지협회경기도지회가족보건의원,고혈압,4등급,37.271072657,127.00822607,4.JPG
212,용인시,(홍인의료소비자생활협동조합)우리현대의원,고혈압,4등급,37.234635681,127.28364993,5.JPG
213,성남시,21세기미금의원,고혈압,4등급,37.350810316,127.10943671,6.JPG
214,김포시,21세기정형외과의원,고혈압,4등급,37.655156416,126.62450885,7.JPG
215,남양주시,365서울내과의원,고혈압,4등급,37.659995354,127.24802639,8.JPG
216,안산시,365열린의원,고혈압,4등급,37.335227194,126.85813017,9.JPG
217,성남시,365프렌즈내과의원,고혈압,4등급,37.473024239,127.15006956,10.JPG
218,부천시,SOK속편한내과의원,고혈압,4등급,37.483431011,126.78090545,11.JPG
219,파주시,가온삼성가정의학과의원,고혈압,4등급,37.723566454,126.75310447,12.JPG
220,안양시,가톨릭성모내과의원,고혈압,4등급,37.410964914,126.91075666,13.JPG
221,화성시,강남의원,고혈압,4등급,37.169281124,126.98340334,14.JPG
222,용인시,강남임내과의원,고혈압,4등급,37.271124016,127.12780319,15.JPG
223,부천시,강내과의원,고혈압,4등급,37.49257069,126.76426746,16.JPG
224,의정부시,강동석정형외과의원,고혈압,4등급,37.731127818,127.08418333,17.JPG
225,광명시,강영목정형외과의원,고혈압,4등급,37.489542076,126.86534091,18.JPG
226,가평군,강현철의원,고혈압,4등급,37.738211871,127.41980741,19.JPG
227,평택시,건강드림내과의원,고혈압,4등급,37.081562186,127.05684197,20.JPG
228,김포시,솔터가정의원,고혈압,1등급,37.643214227,126.6345062,1.JPG
229,과천시,김민규내과의원,고혈압,1등급,37.428191537,126.99247651,2.JPG
230,김포시,김봉환내과의원,고혈압,1등급,37.639405186,126.67166423,3.JPG
231,부천시,김선구정형외과의원,고혈압,1등급,37.515782071,126.76971342,4.JPG
232,의정부시,김성동의원,고혈압,1등급,37.729178037,127.05976987,5.JPG
233,고양시,김소은내과의원,고혈압,1등급,37.624632569,126.83515343,6.JPG
234,의정부시,김연종내과의원,고혈압,1등급,37.734347614,127.07912727,7.JPG
235,광명시,김옥란내과의원,고혈압,1등급,37.436380536,126.8792572,8.JPG
236,광명시,김완중내과의원,고혈압,1등급,37.476761074,126.86892551,9.JPG
237,가평군,김외과의원,고혈압,1등급,37.818258448,127.34811681,10.JPG
238,파주시,김용현내과의원,고혈압,1등급,37.757313435,126.7739278,11.JPG
239,의정부시,김재하내과의원,고혈압,1등급,37.741012951,127.04732171,12.JPG
240,안양시,김정오소아과의원,고혈압,1등급,37.364581714,126.95925212,13.JPG
241,용인시,김진영내과의원,고혈압,1등급,37.323371759,127.07746912,14.JPG
242,고양시,김태빈내과의원,고혈압,1등급,37.693763446,126.78046136,15.JPG
243,안산시,김태준내과의원,고혈압,1등급,37.328500524,126.79955028,16.JPG
244,의왕시,나누리신경외과의원,고혈압,1등급,37.317897832,126.95372864,17.JPG
245,부천시,건강한내과의원,고혈압,1등급,37.526451501,126.81632278,18.JPG
246,화성시,경성의원,고혈압,1등급,37.130221662,126.90957886,19.JPG
247,안산시,고광섭내과의원,고혈압,1등급,37.320814501,126.82749365,20.JPG
248,의정부시,송산우리의원,고혈압,1등급,37.749148362,127.08209257,1.JPG
249,이천시,송정한빛의원,고혈압,1등급,37.295658289,127.43463066,2.JPG
250,동두천시,수가정의학과의원,고혈압,1등급,37.899356533,127.06170834,3.JPG
251,수원시,수가정의학과의원,고혈압,1등급,37.289514277,126.97845551,4.JPG
252,안산시,수암강서의원,고혈압,1등급,37.36271973,126.87604813,5.JPG
253,수원시,수원연세내과의원,고혈압,1등급,37.291814043,127.01225363,6.JPG
254,용인시,수지21세기의원,고혈압,1등급,37.308343711,127.07588635,7.JPG
255,용인시,수지미래산부인과의원,고혈압,1등급,37.31492328,127.08632765,8.JPG
256,용인시,수지중앙내과의원,고혈압,1등급,37.322846241,127.09447088,9.JPG
257,성남시,스마일내과의원,고혈압,1등급,37.442361987,127.13592955,10.JPG
258,시흥시,시화중앙의원,고혈압,1등급,37.34728108,126.74161462,11.JPG
259,연천군,김경석내과의원,고혈압,1등급,38.025563667,127.06744669,12.JPG
260,김포시,김기택내과의원,고혈압,1등급,37.645572796,126.67996497,13.JPG
261,파주시,김내과의원,고혈압,1등급,37.759372067,126.77623647,14.JPG
262,포천시,김내과의원,고혈압,1등급,37.827812596,127.1462847,15.JPG
263,고양시,김내과의원,고혈압,1등급,37.655408643,126.78982298,16.JPG
264,수원시,김도관외과의원,고혈압,1등급,37.306896966,126.99108328,17.JPG
265,화성시,고동혁내과의원,고혈압,등급제외,37.129978353,126.9095454,18.JPG
266,용인시,고려가정의원,고혈압,등급제외,37.313984607,127.08858279,19.JPG
267,안산시,고려가정의원,고혈압,등급제외,37.324002359,126.82037835,20.JPG
268,군포시,고려가정의학과의원,고혈압,등급제외,37.356557418,126.94676178,1.JPG
269,안산시,고려메디웰의원,고혈압,등급제외,37.312869711,126.82898988,2.JPG
270,수원시,고려웰가정의학과의원,고혈압,등급제외,37.304988136,127.04710902,3.JPG
271,안양시,고수련의원,고혈압,등급제외,37.361916606,126.96472836,4.JPG
272,안산시,고잔연세내과의원,고혈압,등급제외,37.308089111,126.85143678,5.JPG
273,광주시,곤지암내과의원,고혈압,등급제외,37.349735505,127.34097158,6.JPG
274,광주시,곤지암성모의원,고혈압,등급제외,37.349202484,127.34460331,7.JPG
275,광명시,광명메디피아의원,고혈압,등급제외,37.489821739,126.8656457,8.JPG
276,광명시,광명속편한내과의원,고혈압,등급제외,37.481268212,126.85559903,9.JPG
277,광명시,광명우신의원,고혈압,등급제외,37.477570105,126.85965363,10.JPG
278,광주시,광주시민의원,고혈압,등급제외,37.34670028,127.21184916,11.JPG
279,구리시,교문마취통증의학과의원,고혈압,등급제외,37.59670026,127.14473036,12.JPG
280,성남시,구석모내과의원,고혈압,등급제외,37.441608355,127.13304671,13.JPG
281,용인시,구성연세의원,고혈압,등급제외,37.294569995,127.11763538,14.JPG
282,군포시,군포열린의원,고혈압,등급제외,37.350861562,126.94380899,15.JPG
283,김포시,굿모닝내과의원,고혈압,등급제외,37.643765778,126.66843833,16.JPG
284,의왕시,권기운내과의원,고혈압,등급제외,37.347584011,126.97373048,17.JPG
285,화성시,권내과의원,고혈압,등급제외,37.081588879,126.81566405,18.JPG
286,수원시,권혁호내과의원,고혈압,등급제외,37.278519069,127.03800541,19.JPG
287,남양주시,그릿시내내과의원,고혈압,등급제외,37.649746818,127.113647,20.JPG
288,평택시,기독내과의원,고혈압,등급제외,37.081760794,127.05600988,1.JPG
289,의정부시,길내과의원,고혈압,등급제외,37.750933276,127.04512635,2.JPG
290,부천시,김가정의학과의원,고혈압,등급제외,37.493376122,126.75291189,3.JPG
291,오산시,세교삼성내과의원,고혈압,등급제외,37.174670421,127.05047857,4.JPG
292,남양주시,세란연합의원,고혈압,등급제외,37.648384747,127.14081732,5.JPG
293,수원시,세란의원,고혈압,등급제외,37.277124357,126.97481756,6.JPG
294,남양주시,세브란스가정의학과의원,고혈압,등급제외,37.580096789,127.21566951,7.JPG
295,하남시,세실내과의원,고혈압,등급제외,37.541011665,127.21595442,8.JPG
296,시흥시,세종내과의원,고혈압,등급제외,37.363221248,126.73019214,9.JPG
297,시흥시,소래가정의원,고혈압,등급제외,37.431655655,126.79352066,10.JPG
298,파주시,소망소아청소년과의원,고혈압,1등급,37.724676778,126.71090538,11.JPG
299,안양시,소망의원,고혈압,1등급,37.415051482,126.9174276,12.JPG
300,남양주시,소망의원,고혈압,1등급,37.634253726,127.21099764,13.JPG
301,광명시,소하연합내과의원,고혈압,1등급,37.447629248,126.88335222,14.JPG
302,의정부시,속편한내과의원,고혈압,1등급,37.712380306,127.0478263,15.JPG
303,화성시,속편한내과의원,고혈압,1등급,37.194751717,127.07424507,16.JPG
304,오산시,속편한내과의원,고혈압,1등급,37.141338708,127.07277672,17.JPG
305,부천시,성모의원,고혈압,1등급,37.479176666,126.76613026,18.JPG
306,평택시,성모자혜의원,고혈압,1등급,37.057540126,127.05645395,19.JPG
307,안양시,성모편안내과의원,고혈압,1등급,37.394752677,126.97644512,20.JPG
308,부천시,성심가정의원,고혈압,1등급,37.480706504,126.77904804,1.JPG
309,안양시,성심내과의원,고혈압,1등급,37.399137256,126.9427321,2.JPG
310,양주시,성심내과의원,고혈압,1등급,37.78733874,126.99146136,3.JPG
311,부천시,성심의원,고혈압,1등급,37.485593221,126.78565914,4.JPG
312,화성시,성심의원,고혈압,1등급,37.209460279,126.81816494,5.JPG
313,수원시,최학붕가정의학과의원,고혈압,1등급,37.302202919,126.99438879,6.JPG
314,군포시,추규열외과의원,고혈압,1등급,37.370112788,126.9372574,7.JPG
315,의정부시,추내과의원,고혈압,1등급,37.730683237,127.05851186,8.JPG
316,광주시,추미애가정의학과의원,고혈압,1등급,37.415192263,127.25061517,9.JPG
317,부천시,큰사랑내과의원,고혈압,1등급,37.500178859,126.77532588,10.JPG
318,성남시,탁용준내과의원,고혈압,1등급,37.412501082,127.1292123,11.JPG
319,고양시,탄현연세의원,고혈압,1등급,37.691485241,126.76271318,12.JPG
320,광주시,태전삼성정형외과의원,고혈압,1등급,37.390786675,127.23139431,13.JPG
321,광주시,태전연세가정의학과의원,고혈압,1등급,37.389059294,127.23006789,14.JPG
322,고양시,신록내과의원,고혈압,1등급,37.651657409,126.77837731,15.JPG
323,부천시,신연세재활의학과의원,고혈압,1등급,37.527622597,126.80513135,16.JPG
324,시흥시,신천제일의원,고혈압,1등급,37.438576651,126.77946737,17.JPG
325,수원시,심규식내과의원,고혈압,1등급,37.277962446,127.03039419,18.JPG
326,의왕시,아름다운가정의학과의원,고혈압,1등급,37.379587499,126.97164061,19.JPG
327,김포시,아산내과의원,고혈압,1등급,37.645132273,126.66111256,20.JPG
